path	line_or_field	observed	classification	owner_kind	action	expected_after	validation
CHANGELOG.md	line:5	## [1.1.0] - Unreleased	CURRENT_CHANGELOG	changelog	PRESERVE	## [1.1.0] - Unreleased	Explicit finalization metadata policy; independent baseline inventory audit
CHANGELOG.md	line:35	- Pull request candidate; the latest published release remains 1.0.1.	CURRENT_CHANGELOG	changelog	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
README.md	line:5	Publication status: PULL_REQUEST_CANDIDATE	CURRENT_PUBLIC_DOCUMENTATION	readme	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
README_SOURCE.md	line:3	Language Edition: 1.0. Status: PULL_REQUEST_CANDIDATE.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
README_SOURCE.md	line:4	The latest published release remains 1.0.1.	CURRENT_PUBLIC_DOCUMENTATION	source_build_guide	PRESERVE	1.0.1	Explicit finalization metadata policy; independent baseline inventory audit
SOURCE-PROVENANCE.json	line:3	"""status"": ""PULL_REQUEST_CANDIDATE"","	CURRENT_PROVENANCE	source_provenance	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
SOURCE-PROVENANCE.json	line:23	"""publication"": ""Pull request candidate; no tag, release or uploaded binary assets"""	CURRENT_PROVENANCE	source_provenance	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
docs/public/v1.0/index.md	line:23	Source version: `1.1.0`; Language Edition: `1.0`. PULL_REQUEST_CANDIDATE.	CURRENT_PUBLIC_DOCUMENTATION	public_index	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:5	Publication status: PULL_REQUEST_CANDIDATE	CURRENT_RELEASE_READINESS_OWNER	release_notes_copy	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:38	signing approval, supported OS or GPU claim is made. The latest published release remains 1.0.1 until separate release publication.	CURRENT_RELEASE_READINESS_OWNER	release_notes_copy	PRESERVE	1.0.1	Explicit finalization metadata policy; independent baseline inventory audit
docs/reference/nebo-1.0/g027-readiness.md	line:23	describe publication. The public source is a PULL_REQUEST_CANDIDATE; the latest	CURRENT_PUBLIC_DOCUMENTATION	readiness_scope	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:5	Publication status: PULL_REQUEST_CANDIDATE	CURRENT_RELEASE_READINESS_OWNER	release_notes	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	line:38	signing approval, supported OS or GPU claim is made. The latest published release remains 1.0.1 until separate release publication.	CURRENT_RELEASE_READINESS_OWNER	release_notes	PRESERVE	1.0.1	Explicit finalization metadata policy; independent baseline inventory audit
docs/releases/VERSION-DECISION.md	line:5	Publication status: **PULL_REQUEST_CANDIDATE**.	CURRENT_RELEASE_READINESS_OWNER	version_decision	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
release/PUBLIC-RELEASE-CANDIDATE.env	line:1	STATUS=PULL_REQUEST_CANDIDATE	CURRENT_PUBLICATION_STATE_OWNER	release_state	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
tests/public/policy.py	line:53	assert env['STATUS']=='PULL_REQUEST_CANDIDATE' and env['VERSION']=='1.1.0' and env['EDITION']=='1.0'	CURRENT_VALIDATOR_EXPECTATION	public_policy	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
version/DERIVED-VERSION-OWNERS.json	line:100	"""Publication status: PULL_REQUEST_CANDIDATE"""	CURRENT_DERIVED_OWNER_POLICY	version_owner_policy	TRANSITION	FINAL_RELEASE_READY	Explicit finalization metadata policy; independent baseline inventory audit
