id	cls	lexeme	name	context	fixity	arity	precedence	associativity	canonical_ascii	domain	operand_rule	result_rule	evaluation	short_circuit	failure_policy	current_state	target_state	dependencies	description
NSR-CORE-001	CORE_ALWAYS_ON	.	flow/member/call/binding dot	expression, receiver-first call and terminal binding	postfix/contextual	1+	P180_SUFFIX	left/contextual	.	core	receiver or value followed by a valid member, call, pipeline stage or binding terminal	member/call result, transformed receiver, or a new binding	receiver exactly once; stages left-to-right	NO	type/resolution error before codegen; no hidden fallback	ACTIVE_CURRENT	CANONICAL	RF27-G02/G03/G06; RF52-G47/G48	The visual and semantic center of Nebo: member access, fluent call, pipeline continuation and value-first binding are decided by parser context.
NSR-CORE-002	CORE_ALWAYS_ON	()	grouping and call delimiters	expressions and argument lists	delimited/postfix	0+	P180_SUFFIX	left	()	core	groupable expression or callable plus typed arguments	grouped value or callable result	callee once, arguments left-to-right exactly once	NO	arity/type/effect diagnostics; no call on failure	ACTIVE_CURRENT	CANONICAL	RF27-G03; RF52-G47/G48	Groups expressions and invokes callables. Nested calls reuse the general expression grammar.
NSR-CORE-003	CORE_ALWAYS_ON	{}	block delimiters	function, control-flow, match, struct and domain bodies	delimited	N	STRUCTURAL	N/A	{}	core	context-specific statements or fields	block value only where a construct defines one	source order	NO	unclosed or invalid-context diagnostic	ACTIVE_CURRENT	CANONICAL	RF27-G02/G03/G05/G06	Delimits lexical blocks and structured bodies; the lexer does not assign a single semantic meaning.
NSR-CORE-004	CORE_ALWAYS_ON	[]	array/list/type delimiters	Array literals, bounded collection forms and type syntax	delimited	0+	P180_SUFFIX_WHEN_INDEXING_EXISTS	left/contextual	[]	core	context-specific elements or type arguments	Array/collection/type value; general indexing is separately RESERVED	elements left-to-right exactly once	NO	bounds and shape diagnostics; no partial aggregate	PARTIAL_ACTIVE_CURRENT	CANONICAL_DELIMITERS	RF27-G06/G07; RF52-G47/G48	The delimiters are core. General `expr[index]` semantics are not implied by their presence.
NSR-CORE-005	CORE_ALWAYS_ON	<...>	generic type argument delimiters	type context only	delimited/contextual	1+	TYPE_GRAMMAR	N/A	<...>	core	generic type constructor plus valid type arguments	instantiated type	compile-time only	NO	generic arity/constraint diagnostic	ACTIVE_CURRENT	CANONICAL	RF27-G06; RF52-G47/G48	Angle brackets in type context are distinct from relational operators in expression context.
NSR-CORE-006	CORE_ALWAYS_ON	,	separator	arguments, elements, fields, bindings and tuples	separator	N	STRUCTURAL	N/A	,	core	context-specific list members	no value of its own	source order	NO	missing-element or trailing-comma policy diagnostic	ACTIVE_CURRENT	CANONICAL_SEPARATOR	RF27-G03/G06; RF52-G48	Comma is a separator, never a free expression operator.
NSR-CORE-007	CORE_ALWAYS_ON	;	statement terminator	statement and selected arm termination	terminator	0	STRUCTURAL	N/A	;	core	completed statement	no value	N/A	NO	missing/extra terminator diagnostic	ACTIVE_CURRENT	CANONICAL	RF27-G02/G03/G05	Terminates statements. It is not an operator and cannot be overloaded.
NSR-CORE-008	CORE_ALWAYS_ON	:	typed/named separator	type annotations, named arguments, fields and schemas	separator/contextual	2	STRUCTURAL	N/A	:	core	name/type or name/value according to context	annotation or association	compile-time only	NO	context-specific diagnostic; `=` is not a named-argument separator	ACTIVE_CURRENT	CANONICAL	RF27-G03/G06/G10; RF52-G47/G48	Separates names from types or values. It is not the C ternary separator in the canonical language.
NSR-CORE-009	CORE_ALWAYS_ON	->	return-type and match-arm arrow	function signatures and match arms	separator/contextual	2	STRUCTURAL	right/contextual	->	core	signature type relation or pattern/body relation	type declaration or selected arm result	compile-time dispatch; selected arm once	MATCH_ONLY	invalid-context diagnostic; member-arrow meaning is rejected	ACTIVE_CURRENT	CANONICAL_CONTEXTUAL	RF27-G03/G05; RF52-G47/G48	The current Assembly language uses `->` for bounded match arms and return-type context; it is not pointer member access.
NSR-CORE-010	CORE_ALWAYS_ON	_	wildcard and ignored binding	patterns and explicitly ignored names	atomic/contextual	0	STRUCTURAL	N/A	_	core	pattern or binding context	no bound value unless a future pattern says otherwise	compile-time only	NO	invalid-position diagnostic	ACTIVE_CURRENT	CANONICAL_CONTEXTUAL	RF27-G05; RF52-G48	Matches or ignores without introducing a normal binding.
NSR-CORE-011	CORE_ALWAYS_ON	//	line comment introducer	lexer outside Text/Char/raw literals	lexical	N	LEXICAL	N/A	//	core	any source bytes until newline or EOF	no token stream output	lexical skip	NO	none unless encoding/source controls are invalid	ACTIVE_CURRENT	CANONICAL	RF27 frontend; RF52-G47	Begins a line comment. It also permanently prevents `//` from becoming integer division.
NSR-CORE-012	CORE_ALWAYS_ON	+	addition	numeric expression	infix	2	P130_ADDITIVE	left	+	core.numeric	same-type numeric operands or an explicitly registered Add protocol with no implicit unsafe coercion	numeric or protocol-declared result	left then right exactly once	NO	checked overflow by default; invalid type rejected	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	RF27 core/G14; RF52-G47/G49	Adds numeric values. Text concatenation is not implicit and belongs to the domain-gated `⧺` operator.
NSR-CORE-013	CORE_ALWAYS_ON	-	subtraction	numeric expression	infix	2	P130_ADDITIVE	left	-	core.numeric	same-type numeric operands or Subtract protocol	numeric or protocol-declared result	left then right exactly once	NO	checked overflow by default	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	RF27 core/G14; RF52-G47/G49	Subtracts the right operand from the left.
NSR-CORE-014	CORE_ALWAYS_ON	*	multiplication	numeric expression	infix	2	P140_MULTIPLICATIVE	left	*	core.numeric	same-type numeric operands or Multiply protocol	numeric or protocol-declared result	left then right exactly once	NO	checked overflow by default	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL	RF27 core/G14; RF52-G47/G49	Scalar multiplication. Vector cross, Cartesian product and tensor products use distinct domain symbols.
NSR-CORE-015	CORE_ALWAYS_ON	/	division	numeric expression	infix	2	P140_MULTIPLICATIVE	left	/	core.numeric	compatible numeric operands; no implicit Int/Float coercion unless a future numeric policy explicitly allows it	Int for Int/Int; Float for supported Float profiles	left then right exactly once	NO	division-by-zero and signed overflow checked; Int division truncates toward zero	ACTIVE_CURRENT_INT_FLOAT_BOUNDED	CANONICAL_INT_TRUNCATE_TOWARD_ZERO	RF27 core/G14; RF52-G47/G49	Preserves the Assembly compiler decision: signed integer division truncates toward zero.
NSR-CORE-016	CORE_ALWAYS_ON	%	remainder	between expressions	infix	2	P140_MULTIPLICATIVE	left	%	core.numeric	Int operands in the current profile; future types require a Remainder protocol	Int or protocol-declared result	left then right exactly once	NO	zero divisor checked; result obeys the signed division identity	ACTIVE_CURRENT_INT	CANONICAL_INFIX	RF27 core; RF52-G47	In infix position `%` means remainder. Template placeholders and postfix percentage are separate contexts.
NSR-CORE-017	CORE_ALWAYS_ON	^	power	numeric or algebraic expression	infix	2	P160_POWER	right	^	core.numeric	Power protocol; initial core profiles Int^nonnegative-Int and Float-compatible powers	type-specific numeric/algebraic result	base then exponent exactly once	NO	checked overflow/domain policy; negative Int exponent requires explicit promotion	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G14/G15/G16; RF46-G35/G36; RF52-G47/G48	Canonical exponentiation. It is intentionally not XOR.
NSR-CORE-018	CORE_ALWAYS_ON	+	unary plus	prefix numeric expression	prefix	1	P150_PREFIX	right	+	core.numeric	numeric operand	same type	operand exactly once	NO	invalid type rejected	INACTIVE_OR_PROFILE_LIMITED	APPROVED_CANONICAL	RF27 core; RF52-G47	Explicit numeric identity, primarily useful for generated and mathematical source.
NSR-CORE-019	CORE_ALWAYS_ON	-	unary negation	prefix numeric expression	prefix	1	P150_PREFIX	right	-	core.numeric	signed numeric operand or Negate protocol	same or declared result type	operand exactly once	NO	checked overflow for minimum signed integer	ACTIVE_CURRENT_INT	CANONICAL	RF27 core/G14; RF52-G47	Negates a value. Power binds more tightly: `-2 ^ 2` means `-(2 ^ 2)`.
NSR-CORE-020	CORE_ALWAYS_ON	!	logical NOT	prefix Boolean expression	prefix	1	P150_PREFIX	right	!	core.logic	Bool only	Bool	operand exactly once	NO	non-Bool rejected; no truthiness	ACTIVE_CURRENT	CANONICAL_PREFIX	RF27 core; RF52-G47	Boolean negation. Postfix factorial is a separate domain-gated context.
NSR-CORE-021	CORE_ALWAYS_ON	&&	logical AND	Boolean expression	infix	2	P090_AND	left	&&	core.logic	Bool and Bool	Bool	left once; right only when left is true	YES_RIGHT_LAZY	non-Bool rejected; no truthiness	ACTIVE_CURRENT	CANONICAL	RF27 core; RF52-G47	Short-circuit conjunction.
NSR-CORE-022	CORE_ALWAYS_ON	||	logical OR	Boolean expression	infix	2	P080_OR	left	||	core.logic	Bool and Bool	Bool	left once; right only when left is false	YES_RIGHT_LAZY	non-Bool rejected; no truthiness	ACTIVE_CURRENT	CANONICAL	RF27 core; RF52-G47	Short-circuit disjunction.
NSR-CORE-023	CORE_ALWAYS_ON	xor	typed XOR	Boolean, Int or Bytes expression	infix keyword	2	P100_XOR	left	xor	core.logic_bits	Bool/Bool, Int/Int or equal-length Bytes/Bytes	Bool, Int or Bytes matching the operand domain	left then right exactly once	NO	type/length mismatch rejected; no padding or truncation	METHOD_SUBSTRATE_ACTIVE_SYMBOL_INACTIVE	APPROVED_CANONICAL_ASCII	RF27-G01/G08; RF52-G47/G48	Canonical XOR spelling. Existing `bitXor()` remains an exact method form.
NSR-CORE-024	CORE_ALWAYS_ON	<	less than	ordered expression	infix	2	P120_RELATIONAL	non-associative	<	core.compare	same compatible Comparable domain	Bool	left then right exactly once	NO	unsupported comparison rejected	ACTIVE_CURRENT_INT	CANONICAL	RF27 core/G06; RF52-G47	Strict ordering. Chained comparisons are rejected; use explicit conjunction.
NSR-CORE-025	CORE_ALWAYS_ON	<=	less than or equal	ordered expression	infix	2	P120_RELATIONAL	non-associative	<=	core.compare	same compatible Comparable domain	Bool	left then right exactly once	NO	unsupported comparison rejected	ACTIVE_CURRENT_INT	CANONICAL	RF27 core/G06; RF52-G47	Inclusive upper-order comparison.
NSR-CORE-026	CORE_ALWAYS_ON	>	greater than	ordered expression	infix	2	P120_RELATIONAL	non-associative	>	core.compare	same compatible Comparable domain	Bool	left then right exactly once	NO	unsupported comparison rejected	ACTIVE_CURRENT_INT	CANONICAL	RF27 core/G06; RF52-G47	Strict reverse ordering.
NSR-CORE-027	CORE_ALWAYS_ON	>=	greater than or equal	ordered expression	infix	2	P120_RELATIONAL	non-associative	>=	core.compare	same compatible Comparable domain	Bool	left then right exactly once	NO	unsupported comparison rejected	ACTIVE_CURRENT_INT	CANONICAL	RF27 core/G06; RF52-G47	Inclusive lower-order comparison.
NSR-CORE-028	CORE_ALWAYS_ON	==	equality	equality expression	infix	2	P110_EQUALITY	non-associative	==	core.eq	same Eq domain; no implicit cross-type coercion	Bool	left then right exactly once	NO	unsupported equality rejected	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED	CANONICAL	RF27 core/G06; RF52-G47	Typed equality. Current-head Char uniformity must be replayed before extending claims.
NSR-CORE-029	CORE_ALWAYS_ON	!=	inequality	equality expression	infix	2	P110_EQUALITY	non-associative	!=	core.eq	same Eq domain	Bool	left then right exactly once	NO	unsupported equality rejected	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED	CANONICAL	RF27 core/G06; RF52-G47	Logical negation of typed equality without re-evaluating operands.
NSR-CORE-030	CORE_ALWAYS_ON	<=>	three-way comparison	ordered expression	infix	2	P120_RELATIONAL	non-associative	<=>	core.compare	same Comparable domain	Ordering { LESS, EQUAL, GREATER }	left then right exactly once	NO	unsupported domain rejected	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G06; RF52-G47/G48	Returns a typed Ordering rather than an Int sentinel.
NSR-CORE-031	CORE_ALWAYS_ON	=	assignment statement	statement to an existing mutable lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	=	core.mutation	mutable lvalue and type-compatible RHS	no value	target once, RHS once, one store on success	NO	zero store on rejection/failure	ACTIVE_CURRENT	CANONICAL_STATEMENT	RF27-G02/G04; RF52-G47	Assignment never creates a new binding and is not equality.
NSR-CORE-032	CORE_ALWAYS_ON	+=	checked add assignment	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	+=	core.mutation	mutable lvalue supporting Add and compatible RHS	no value	target once, old value once, RHS once, one store on success	NO	checked overflow; zero store on failure	ACTIVE_CURRENT_INT	CANONICAL	RF27-G02/G04; RF52-G47	Compound assignment with exactly-once lvalue and RHS evaluation.
NSR-CORE-033	CORE_ALWAYS_ON	-=	checked subtract assignment	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	-=	core.mutation	mutable lvalue supporting Subtract	no value	target once, old value once, RHS once, one store on success	NO	checked overflow; zero store on failure	ACTIVE_CURRENT_INT	CANONICAL	RF27-G02/G04; RF52-G47	Checked subtraction assignment.
NSR-CORE-034	CORE_ALWAYS_ON	*=	checked multiply assignment	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	*=	core.mutation	mutable lvalue supporting Multiply	no value	target once, old value once, RHS once, one store on success	NO	checked overflow; zero store on failure	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G02/G04; RF52-G47	Future checked multiplication assignment.
NSR-CORE-035	CORE_ALWAYS_ON	/=	checked divide assignment	statement to an existing mutable numeric lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	/=	core.mutation	mutable lvalue supporting Divide	no value	target once, old value once, RHS once, one store on success	NO	zero divisor/overflow checked; zero store on failure	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G02/G04; RF52-G47	Future checked division assignment.
NSR-CORE-036	CORE_ALWAYS_ON	%=	checked remainder assignment	statement to an existing mutable Int-like lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	%=	core.mutation	mutable lvalue supporting Remainder	no value	target once, old value once, RHS once, one store on success	NO	zero divisor checked; zero store on failure	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G02/G04; RF52-G47	Future checked remainder assignment.
NSR-CORE-037	CORE_ALWAYS_ON	^=	checked power assignment	statement to an existing mutable power-capable lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	^=	core.mutation	mutable lvalue supporting Power	no value	target once, old value once, exponent once, one store on success	NO	overflow/domain checked; zero store on failure	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G02/G14; RF52-G47	Power assignment; XOR assignment uses no `^=` interpretation.
NSR-CORE-038	CORE_ALWAYS_ON	?	Result propagation	postfix on Result in a compatible Result-returning context	postfix	1	P170_POSTFIX	left	?	core.result	Result<T,E> with an enclosing compatible Result<_,E>	T on Ok; early return of the exact E on Err	operand once; cleanup exactly once before early return	YES_ERR_EARLY_RETURN	type/context mismatch diagnostic; no artifact on rejection	ACTIVE_CURRENT_BOUNDED	CANONICAL_CONTEXTUAL	RF27-G04/G05; RF52-G47	Propagates typed Result errors. It is not a ternary marker.
NSR-CORE-039	CORE_ALWAYS_ON	??	Option coalescing	infix on Option	infix	2	P050_COALESCE	right	??	core.option	Option<T> on the left and a T-compatible fallback on the right	T	left once; fallback only for None	YES_RIGHT_LAZY	type mismatch rejected	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G05; RF52-G47/G48	Returns the contained value or lazily evaluates the fallback.
NSR-CORE-040	CORE_ALWAYS_ON	?.	Option-safe member/call chain	suffix on Option	postfix/contextual	1+	P180_SUFFIX	left	?.	core.option	Option<T> followed by a valid T member or call	Option<U>	receiver once; member/call only for Some	YES_CHAIN_LAZY	invalid member/type diagnostic	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G03/G05; RF52-G47/G48	Safe Option chaining; it does not catch arbitrary errors.
NSR-CORE-041	CORE_ALWAYS_ON	??=	assign when None	statement to mutable Option lvalue	statement operator	2	P020_ASSIGNMENT	right/statement	??=	core.option_mutation	mutable Option<T> lvalue and T-compatible RHS	no value	target once; RHS only when None; one store on success	YES_RIGHT_LAZY	zero store on failure	INACTIVE_CURRENT	APPROVED_CANONICAL	RF27-G02/G05; RF52-G47/G48	Conditionally initializes a mutable Option without duplicating target evaluation.
