canonical_identity	code	native_id	severity	phase	message	span_contract	machine_formats	exit_contract	compatibility
native-catalog:NEBO_CLI_USAGE	NEBO_CLI_USAGE	1	1	1	invalid command-line usage	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_SOURCE_BOM_FORBIDDEN	NEBO_SOURCE_BOM_FORBIDDEN	2	1	2	UTF-8 BOM is forbidden	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_SOURCE_TOO_LARGE	NEBO_SOURCE_TOO_LARGE	3	1	2	source exceeds the configured byte limit	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_INVALID_UTF8	NEBO_LEX_INVALID_UTF8	4	1	3	source contains invalid UTF-8	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_INVALID_CHARACTER	NEBO_LEX_INVALID_CHARACTER	5	1	3	invalid source character {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_EXPECTED_TOKEN	NEBO_PARSE_EXPECTED_TOKEN	6	1	4	expected token {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_NAME_UNDEFINED	NEBO_NAME_UNDEFINED	7	1	5	undefined name {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_MISMATCH	NEBO_TYPE_MISMATCH	8	1	6	expected {0}, found {1}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LIMIT_EXCEEDED	NEBO_LIMIT_EXCEEDED	9	1	13	resource limit exceeded: {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TOOLCHAIN_FAILED	NEBO_TOOLCHAIN_FAILED	10	1	12	external tool failed: {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_INTERNAL_ERROR	NEBO_INTERNAL_ERROR	11	1	13	internal compiler error	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_UNTERMINATED_TEXT	NEBO_LEX_UNTERMINATED_TEXT	12	1	3	unterminated Text literal	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_INVALID_ESCAPE	NEBO_LEX_INVALID_ESCAPE	13	1	3	invalid Text escape {0}	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_INT_OVERFLOW	NEBO_LEX_INT_OVERFLOW	14	1	3	integer literal exceeds signed 64-bit range	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_LEX_UNTERMINATED_BLOCK_COMMENT	NEBO_LEX_UNTERMINATED_BLOCK_COMMENT	15	1	3	unterminated nested block comment	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_DUPLICATE_START	NEBO_PARSE_DUPLICATE_START	16	1	4	program declares more than one start()	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_TOP_LEVEL_STATEMENT	NEBO_PARSE_TOP_LEVEL_STATEMENT	17	1	4	statements are not allowed at top level	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_NESTING_LIMIT	NEBO_PARSE_NESTING_LIMIT	18	1	4	parser nesting limit exceeded	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_MISSING_START	NEBO_PARSE_MISSING_START	19	1	4	program requires exactly one start()	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_UNSUPPORTED_CONTROL	NEBO_PARSE_UNSUPPORTED_CONTROL	20	1	4	control feature is reserved but unsupported in Nebo v0.1	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_INVALID_CONTROL_CHAIN	NEBO_PARSE_INVALID_CONTROL_CHAIN	21	1	4	if/else are statements and cannot be used as fluent chain suffixes	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_MISSING_SEMICOLON	NEBO_PARSE_MISSING_SEMICOLON	22	1	4	expected ';' after statement	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_PARSE_UNEXPECTED_TOKEN	NEBO_PARSE_UNEXPECTED_TOKEN	23	1	4	unexpected token while parsing statement	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_NAME_DUPLICATE	NEBO_NAME_DUPLICATE	24	1	5	name is already declared in this scope	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_NAME_SHADOW	NEBO_NAME_SHADOW	25	1	5	name would shadow an outer declaration	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_NAME_RESERVED	NEBO_NAME_RESERVED	26	1	5	reserved word cannot be used as a declaration name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_TRUTHINESS	NEBO_TYPE_TRUTHINESS	27	1	6	condition requires Bool; truthiness is forbidden	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_UNSUPPORTED_OPERATOR	NEBO_TYPE_UNSUPPORTED_OPERATOR	28	1	6	operator is not defined for these fundamental types	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_CONSTANT_OVERFLOW	NEBO_TYPE_CONSTANT_OVERFLOW	29	1	6	constant Int arithmetic overflows signed 64-bit range	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_DIVISION_BY_ZERO	NEBO_TYPE_DIVISION_BY_ZERO	30	1	6	constant Int division by zero	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_INCONSISTENT_RETURN	NEBO_TYPE_INCONSISTENT_RETURN	31	1	6	function returns inconsistent fundamental types	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_MISSING_RETURN	NEBO_TYPE_MISSING_RETURN	32	1	6	value-returning function can fall through without return	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_TYPE_VOID_BINDING	NEBO_TYPE_VOID_BINDING	33	1	6	Void call result cannot be bound	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_INVALID_RECEIVER	NEBO_CALL_INVALID_RECEIVER	34	1	6	no overload accepts this receiver type	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_ARITY	NEBO_CALL_ARITY	35	1	6	call positional argument count does not match signature	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_ARGUMENT_TYPE	NEBO_CALL_ARGUMENT_TYPE	36	1	6	call positional argument type does not match signature	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_RECURSION	NEBO_CALL_RECURSION	37	1	6	recursive call cycle is not supported in Nebo v0.1	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_UNDEFINED	NEBO_CALL_UNDEFINED	38	1	6	no function signature matches this call name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_NESTED_FUNCTION	NEBO_CALL_NESTED_FUNCTION	39	1	6	nested functions are not supported in Nebo v0.1	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_CALL_DUPLICATE_SIGNATURE	NEBO_CALL_DUPLICATE_SIGNATURE	40	1	6	duplicate function signature	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_BEHAVIOR_NOT_SUPPORTED	NEBO_BEHAVIOR_NOT_SUPPORTED	41	1	6	function does not accept this behavior descriptor	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_BEHAVIOR_CONFLICT	NEBO_BEHAVIOR_CONFLICT	42	1	6	exclusive behavior conflict in one call	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO_BEHAVIOR_EFFECTFUL	NEBO_BEHAVIOR_EFFECTFUL	43	1	6	behavior descriptors must be PURE in Nebo v0.1	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
