registry_id	class	lexeme	code_points	context	fixity	arity	precedence	associativity	canonical_ascii	domain	current_state	target_state	installation_state	source_registry_tsv_sha256
NSR-CORE-001	CORE_ALWAYS_ON	.	U+002E	expression, receiver-first call and terminal binding	postfix/contextual	1+	P180_SUFFIX	left/contextual	.	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-002	CORE_ALWAYS_ON	()	U+0028 U+0029	expressions and argument lists	delimited/postfix	0+	P180_SUFFIX	left	()	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-003	CORE_ALWAYS_ON	{}	U+007B U+007D	function, control-flow, match, struct and domain bodies	delimited	N	STRUCTURAL	N/A	{}	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-004	CORE_ALWAYS_ON	[]	U+005B U+005D	Array literals, bounded collection forms and type syntax	delimited	0+	P180_SUFFIX_WHEN_INDEXING_EXISTS	left/contextual	[]	core	PARTIAL_ACTIVE_CURRENT	CANONICAL_DELIMITERS	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-005	CORE_ALWAYS_ON	<...>	U+003C U+002E U+002E U+002E U+003E	type context only	delimited/contextual	1+	TYPE_GRAMMAR	N/A	<...>	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-006	CORE_ALWAYS_ON	,	U+002C	arguments, elements, fields, bindings and tuples	separator	N	STRUCTURAL	N/A	,	core	ACTIVE_CURRENT	CANONICAL_SEPARATOR	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-007	CORE_ALWAYS_ON	;	U+003B	statement and selected arm termination	terminator	0	STRUCTURAL	N/A	;	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-008	CORE_ALWAYS_ON	:	U+003A	type annotations, named arguments, fields and schemas	separator/contextual	2	STRUCTURAL	N/A	:	core	ACTIVE_CURRENT	CANONICAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-009	CORE_ALWAYS_ON	->	U+002D U+003E	function signatures and match arms	separator/contextual	2	STRUCTURAL	right/contextual	->	core	ACTIVE_CURRENT	CANONICAL_CONTEXTUAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
NSR-CORE-010	CORE_ALWAYS_ON	_	U+005F	patterns and explicitly ignored names	atomic/contextual	0	STRUCTURAL	N/A	_	core	ACTIVE_CURRENT	CANONICAL_CONTEXTUAL	NOT_ACTIVATED_BY_INSTALLATION	b7e5694ceadf30ccffb4077c994fe230d2a10201b64dc6e9e218bdcf4b157f14
