id	lexeme	utf8_hex	codepoints	registry_class	classification	edition	context	fixity	precedence	associativity	canonical_ascii	positive_ids	negative_ids	limits	authority	registry_sha256
NSR-CORE-001	.	2e	U+002E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	expression, receiver-first call and terminal binding	postfix/contextual	P180_SUFFIX	left/contextual	.	operator:binary-2b-0,operator:binary-2b-1	operator:discard-mutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-002	()	2829	U+0028 U+0029	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	expressions and argument lists	delimited/postfix	P180_SUFFIX	left	()	operator:binary-2b-0,operator:binary-2b-1	operator:discard-mutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-003	{}	7b7d	U+007B U+007D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	function, control-flow, match, struct and domain bodies	delimited	STRUCTURAL	N/A	{}	operator:binary-2b-0,operator:binary-2b-1	operator:discard-mutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-004	[]	5b5d	U+005B U+005D	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	Array literals, bounded collection forms and type syntax	delimited	P180_SUFFIX_WHEN_INDEXING_EXISTS	left/contextual	[]	operator:reduce-e28891-[],operator:reduce-e2888f-[]	operator:wrong-domain-e28891	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-005	<...>	3c2e2e2e3e	U+003C U+002E U+002E U+002E U+003E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	type context only	delimited/contextual	TYPE_GRAMMAR	N/A	<...>	operator:reduce-e28891-[],operator:reduce-e2888f-[]	operator:wrong-domain-e28891	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-006	,	2c	U+002C	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	arguments, elements, fields, bindings and tuples	separator	STRUCTURAL	N/A	,	operator:bytes-construct-four-0,operator:bytes-construct-four-7	operator:bytes-four-arity	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-007	;	3b	U+003B	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	statement and selected arm termination	terminator	STRUCTURAL	N/A	;	operator:binary-2b-0,operator:binary-2b-1	operator:discard-mutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-008	:	3a	U+003A	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	type annotations, named arguments, fields and schemas	separator/contextual	STRUCTURAL	N/A	:	format:named-29,format:named-83	format:named-duplicate	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-009	->	2d3e	U+002D U+003E	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	function signatures and match arms	separator/contextual	STRUCTURAL	right/contextual	->	operator:wildcard-_-17,operator:wildcard-Value(_)-17	operator:discard-mutable	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
NSR-CORE-010	_	5f	U+005F	CORE_ALWAYS_ON	ACTIVE	1;2-compatible	patterns and explicitly ignored names	atomic/contextual	STRUCTURAL	N/A	_	operator:discard-effects-17-29,operator:wildcard-_-17	operator:discard-read	Current native grammar/context only; no implicit activation.	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	a6f6cd1fbda1b6ee77934fa24a3b1f654ae16c657a1bd2a1c9c61444f5d72f2a
