protocol	class	domain	known_lexemes	user_types_may_implement	new_lexeme_allowed	effects_policy	current_state
flow/member/call/binding dot	CORE_ALWAYS_ON	core	.	YES_WHEN_TYPED_AND_COHERENT	NO	receiver exactly once; stages left-to-right	ACTIVE_CURRENT
grouping and call delimiters	CORE_ALWAYS_ON	core	()	YES_WHEN_TYPED_AND_COHERENT	NO	callee once, arguments left-to-right exactly once	ACTIVE_CURRENT
block delimiters	CORE_ALWAYS_ON	core	{}	YES_WHEN_TYPED_AND_COHERENT	NO	source order	ACTIVE_CURRENT
array/list/type delimiters	CORE_ALWAYS_ON	core	[]	YES_WHEN_TYPED_AND_COHERENT	NO	elements left-to-right exactly once	PARTIAL_ACTIVE_CURRENT
generic type argument delimiters	CORE_ALWAYS_ON	core	<...>	YES_WHEN_TYPED_AND_COHERENT	NO	compile-time only	ACTIVE_CURRENT
separator	CORE_ALWAYS_ON	core	,	YES_WHEN_TYPED_AND_COHERENT	NO	source order	ACTIVE_CURRENT
statement terminator	CORE_ALWAYS_ON	core	;	YES_WHEN_TYPED_AND_COHERENT	NO	N/A	ACTIVE_CURRENT
typed/named separator	CORE_ALWAYS_ON	core	:	YES_WHEN_TYPED_AND_COHERENT	NO	compile-time only	ACTIVE_CURRENT
return-type and match-arm arrow	CORE_ALWAYS_ON	core	->	YES_WHEN_TYPED_AND_COHERENT	NO	compile-time dispatch; selected arm once	ACTIVE_CURRENT
wildcard and ignored binding	CORE_ALWAYS_ON	core	_	YES_WHEN_TYPED_AND_COHERENT	NO	compile-time only	ACTIVE_CURRENT
line comment introducer	CORE_ALWAYS_ON	core	//	YES_WHEN_TYPED_AND_COHERENT	NO	lexical skip	ACTIVE_CURRENT
addition	CORE_ALWAYS_ON	core.numeric	+	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_FLOAT_BOUNDED
subtraction	CORE_ALWAYS_ON	core.numeric	-	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_FLOAT_BOUNDED
multiplication	CORE_ALWAYS_ON	core.numeric	*	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_FLOAT_BOUNDED
division	CORE_ALWAYS_ON	core.numeric	/	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_FLOAT_BOUNDED
remainder	CORE_ALWAYS_ON	core.numeric	%	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT
power	CORE_ALWAYS_ON	core.numeric	^	YES_WHEN_TYPED_AND_COHERENT	NO	base then exponent exactly once	INACTIVE_CURRENT
unary plus	CORE_ALWAYS_ON	core.numeric	+	YES_WHEN_TYPED_AND_COHERENT	NO	operand exactly once	INACTIVE_OR_PROFILE_LIMITED
unary negation	CORE_ALWAYS_ON	core.numeric	-	YES_WHEN_TYPED_AND_COHERENT	NO	operand exactly once	ACTIVE_CURRENT_INT
logical NOT	CORE_ALWAYS_ON	core.logic	!	YES_WHEN_TYPED_AND_COHERENT	NO	operand exactly once	ACTIVE_CURRENT
logical AND	CORE_ALWAYS_ON	core.logic	&&	YES_WHEN_TYPED_AND_COHERENT	NO	left once; right only when left is true	ACTIVE_CURRENT
logical OR	CORE_ALWAYS_ON	core.logic	||	YES_WHEN_TYPED_AND_COHERENT	NO	left once; right only when left is false	ACTIVE_CURRENT
typed XOR	CORE_ALWAYS_ON	core.logic_bits	xor	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	METHOD_SUBSTRATE_ACTIVE_SYMBOL_INACTIVE
less than	CORE_ALWAYS_ON	core.compare	<	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT
less than or equal	CORE_ALWAYS_ON	core.compare	<=	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT
greater than	CORE_ALWAYS_ON	core.compare	>	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT
greater than or equal	CORE_ALWAYS_ON	core.compare	>=	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT
equality	CORE_ALWAYS_ON	core.eq	==	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED
inequality	CORE_ALWAYS_ON	core.eq	!=	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	ACTIVE_CURRENT_INT_BOOL_TEXT_BOUNDED
three-way comparison	CORE_ALWAYS_ON	core.compare	<=>	YES_WHEN_TYPED_AND_COHERENT	NO	left then right exactly once	INACTIVE_CURRENT
assignment statement	CORE_ALWAYS_ON	core.mutation	=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, RHS once, one store on success	ACTIVE_CURRENT
checked add assignment	CORE_ALWAYS_ON	core.mutation	+=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, RHS once, one store on success	ACTIVE_CURRENT_INT
checked subtract assignment	CORE_ALWAYS_ON	core.mutation	-=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, RHS once, one store on success	ACTIVE_CURRENT_INT
checked multiply assignment	CORE_ALWAYS_ON	core.mutation	*=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, RHS once, one store on success	INACTIVE_CURRENT
checked divide assignment	CORE_ALWAYS_ON	core.mutation	/=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, RHS once, one store on success	INACTIVE_CURRENT
checked remainder assignment	CORE_ALWAYS_ON	core.mutation	%=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, RHS once, one store on success	INACTIVE_CURRENT
checked power assignment	CORE_ALWAYS_ON	core.mutation	^=	YES_WHEN_TYPED_AND_COHERENT	NO	target once, old value once, exponent once, one store on success	INACTIVE_CURRENT
Result propagation	CORE_ALWAYS_ON	core.result	?	YES_WHEN_TYPED_AND_COHERENT	NO	operand once; cleanup exactly once before early return	ACTIVE_CURRENT_BOUNDED
Option coalescing	CORE_ALWAYS_ON	core.option	??	YES_WHEN_TYPED_AND_COHERENT	NO	left once; fallback only for None	INACTIVE_CURRENT
