path	action	owner_class	old_state	new_state	reason	validation
CHANGELOG.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
README.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
README_SOURCE.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
SHA256SUMS	MODIFY	CHECKSUM	INTEGRATED_SNAPSHOT	REGENERATED	Deterministic inventory and integrity for finalized metadata	Public policy, finalization adversaries, version/documentation checks and independent PR audit
SOURCE-PROVENANCE.json	MODIFY	PROVENANCE	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
docs/public/v1.0/index.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
docs/public/v1.0/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
docs/reference/nebo-1.0/g027-readiness.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
docs/releases/NEBO-1.1.0-RELEASE-NOTES.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
docs/releases/VERSION-DECISION.md	MODIFY	PUBLIC_DOCUMENTATION	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/NEBO-1.1.0-RELEASE-GO-CHANGE-MANIFEST.tsv	ADD	RELEASE_GO_MANIFEST	ABSENT	REGENERATED	Deterministic inventory and integrity for finalized metadata	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/NEBO-1.1.0-RELEASE-GO-STATUS-INVENTORY.tsv	ADD	RELEASE_GO_MANIFEST	ABSENT	REGENERATED	Deterministic inventory and integrity for finalized metadata	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/NEBO-PUBLIC-RELEASE-IDENTITY.env	ADD	CURRENT_STATUS_OWNER	ABSENT	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/PUBLIC-CONTENT-SHA256SUMS	MODIFY	CHECKSUM	INTEGRATED_SNAPSHOT	REGENERATED	Deterministic inventory and integrity for finalized metadata	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/PUBLIC-RELEASE-CANDIDATE.env	MODIFY	CURRENT_STATUS_OWNER	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
release/PUBLIC-VALIDATION.json	MODIFY	VALIDATION_METADATA	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
tests/public/finalization.py	MODIFY	VALIDATOR	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
tests/public/finalization_selftest.py	MODIFY	VALIDATOR	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
tests/public/policy.py	MODIFY	VALIDATOR	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
version/DERIVED-VERSION-OWNERS.json	MODIFY	DERIVED_OWNER_POLICY	FINAL_RELEASE_READY	FINAL_RELEASE	Record and verify the bounded metadata transition; no product source change	Public policy, finalization adversaries, version/documentation checks and independent PR audit
