rule_id	subgroup	kind	subject	requirement	profile	authority	authority_sha256	test_count
N1-binary-order	S03	CLAUSE	binary-order	Evaluate ordinary operands left to right exactly once, including owned Bytes operands.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-call-order	S04	CLAUSE	call-order	Evaluate receiver then positional arguments once; native hidden-result storage preserves effects and caller ownership.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-aggregate-order	S03	CLAUSE	aggregate-order	List arguments and named product fields evaluate in lexical source order, independent of storage field order.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	2
N1-short-circuit	S03	CLAUSE	short-circuit	&& and its exact alias ∧, and || and its exact alias ∨, evaluate the right operand only when required. The English words and/or/not are not executable aliases in Edition 1.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	5
N1-temporary-lifetime	S03	CLAUSE	temporary-lifetime	Temporaries remain valid through use, and independent returned owned values do not alias.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-discard-and-return	S03	CLAUSE	discard-and-return	Discard keeps effects; return suppresses subsequent control paths and runs required cleanup.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S01-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-builtin-types	S02	CLAUSE	builtin-types	Bool, Int64, binary64 Float, Unicode Char, UTF-8 Text and Bytes retain distinct typed identities.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-inference-and-binding	S02	CLAUSE	inference-and-binding	Direct inference and explicit one-shot initialization agree; assignment preserves type and mutability.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-no-coercions	S02	CLAUSE	no-coercions	No implicit Bool/Int/Float/Char/Text conversion at binding boundaries; rejected initializer retains causal type error.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	7
N1-nominal-identity	S02	CLAUSE	nominal-identity	Alias layout equals referent layout; newtype requires explicit construction/unwrap; enum discriminants and active payloads remain distinct.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	6
N1-generic-constraints	S02	CLAUSE	generic-constraints	Supported scalar generic constraints are checked, not erased; const arguments specialize independently.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-overload-ranking	S04	CLAUSE	overload-ranking	Exact supported receiver/argument types select deterministically regardless of declaration order. Named/default calls retain their bounded pure profile.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F006	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	5
N1-explicit-conversions	S02	CLAUSE	explicit-conversions	Narrowing, textual parsing and numeric rounding use explicit operations with checked domain/error behavior.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S02-F007	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	2
N1-move	S02	CLAUSE	move	Move transfers ownership exactly once and invalidates the old binding.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F001	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-copy-clone	S02	CLAUSE	copy-clone	Value copies and explicit owned clones remain independent; clone allocation is accounted and released.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F002	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-borrow-aliasing	S02	CLAUSE	borrow-aliasing	Shared/unique views constrain mutation, reset, drop and move until release.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F003	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
N1-lifetime-escape	S02	CLAUSE	lifetime-escape	Borrow cannot escape its owner; function result ownership is explicit and caller-owned.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F004	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	3
N1-cleanup	S02	CLAUSE	cleanup	Success, early return and allocation failure release all live resources exactly once.	EDITION_1_BOUNDED_NORMATIVE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S03-F005	9e0678910601a54d8c823f64a930be6dbcd27544a2245c0dd5c46026e27811b8	4
