identity	ownership	effects	capabilities	import_grants_capability	limits	negative_cases
NSR-CORE-001	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable
NSR-CORE-002	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable
NSR-CORE-003	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable
NSR-CORE-004	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e28891,operator:reduce-overflow-e2888f
NSR-CORE-005	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e28891,operator:reduce-overflow-e2888f
NSR-CORE-006	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:bytes-four-arity
NSR-CORE-007	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable
NSR-CORE-008	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Checked format/interpolation profile; 64 segments; finite text/output budgets; pure interpolation	format:named-duplicate,format:named-absent,format:named-type
NSR-CORE-009	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable
NSR-CORE-010	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-read,operator:discard-mutable
NSR-CORE-011	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:comment-does-not-bind
NSR-CORE-012	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2b
NSR-CORE-013	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2d
NSR-CORE-014	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2a
NSR-CORE-015	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2f
NSR-CORE-016	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-25
NSR-CORE-017	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-5e
NSR-CORE-018	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-2b
NSR-CORE-019	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-2d
NSR-CORE-020	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-unary-21
NSR-CORE-021	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int
NSR-CORE-022	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int
NSR-CORE-023	Exact typed owner contract; no copy/borrow/clone capability inferred from spelling	Per expression: pure computation plus explicit observed sinks	NO_IMPLICIT_GRANT	NO	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Equal Int/Bool/Bytes operands; immutable Bytes XOR requires equal lengths at most 4096; fromByte takes one Int and fromValues four Ints in 0..255; private initialized storage; ordered effects and two live outputs. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-786f72,operator:bytes-xor-mixed,operator:bytes-bool,operator:bytes-arity
