identity	surface	tier	status	target	owner	limits	proof	subgroup
NSR-REJ-001	|>	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-002	<->	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-003	**	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-004	^ as XOR	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-005	++	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-006	--	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-007	cond ? a : b	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-008	a ?: b	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-009	:=	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-010	(a, b, c) as comma operator	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-011	= as equality	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-012	<>	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-013	and / or / not	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-014	!!	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-015	// as integer division	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-016	=>	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-017	1..10	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-018	ptr->field	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-019	100 + 10%	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-020	a ≈ b without tolerance	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-021	∫ returning bare Float	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-022	a ± b as implicit Tuple	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-023	Text + Number	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-024	user-defined new operator lexeme	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-025	fullwidth/confusable operator forms	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-REJ-026	%% in expression	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit REJECTED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-001	<.	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-002	<.>	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-003	...	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-004	::	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-005	#	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-006	#RRGGBB	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-007	$	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-008	`...`	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-009	/*...*/	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-010	&	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-011	|	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-012	~	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-013	<<	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-014	>>	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-015	expr[index]	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-016	a:b	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-017	&expr	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-018	*expr	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-019	λ	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-020	↦	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-021	|x|	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-022	≔	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
NSR-RES-023	∴ / ∵	EXCLUDED_1_0	CONTRACT_ONLY_NOT_COUNTED_AS_PUBLIC	x86_64-systemv-elf-linux	docs/specifications/nebo-language/NEBO-SYMBOL-AND-OPERATOR-REGISTRY-v1.0.tsv	Explicit RESERVED registry class	NO_STABLE_RUNTIME_CLAIM	G178-S08
claim:0165b7b80d4fe488475d0e91	zeros	EXPERIMENTAL	BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	x86_64-systemv-elf-linux	compiler/semantic/tensor/g016_source_vertical.inc	Actual Bool/Int64/binary64 operands and native rank/shape/stride/root descriptors; Bool storage is packed bytes; CPU rank 0..6 and 4096 elements; Int construction/arithmetic retains C12 rank 0..3, dimensions 0..8 and 64 elements; index tensors from argMax retain full result geometry. Shape inputs are constant Int Tuples or material Int Vectors. fromBuffer copies exact typed Int/Float Vector, live Int Slice or checked 0/1 Bytes for Bool. Float selection uses equal shapes or explicit broadcastTo; map uses a typed noncapturing Float function and preserves ordered effects. Float reductions reject empty/nonfinite inputs and invalid axes; first argMax tie. Structural methods compose native owners; peers are 1..6 immutable Tensor names in a Tuple, split takes 1..6 exact sizes, padding has two entries per axis. Readonly function borrows and caller-owned result copies preserve lifetimes. Every cited oracle executes real source, including negatives and bounded-domain failures.	NO_STABLE_RUNTIME_CLAIM	G178-S08
claim:01c8466cc14b4a8ab40b7544	slice	EXPERIMENTAL	BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	x86_64-systemv-elf-linux	compiler/semantic/matrix/g015_source_vertical.inc	Canonical native descriptor, actual Int64 (dimensions 0..8) / binary64 (0..64) operands; independent owned results and root-provenance views; row-major fromBuffer copies live Int Slice or typed Int/Float Vector, exact count/dtype and lexical release gates; native Float LU returns (compact factors, permutation), QR returns (thin Q, R), using existing Tuple projections; finite factorization dimensions at most 32 with singular/domain rejection; readonly Matrix parameter borrows and caller-owned hidden-result copies preserve lifetimes and ordered arguments; scalar calls reclaim temporaries; runtime-shaped axis Vectors reuse native Vector/statistics and Random consumers; checked Int axis sums publish atomically; no whole-source projection or fixed report	NO_STABLE_RUNTIME_CLAIM	G178-S08
claim:03a0c75cf0c28529e1b2af67	at	EXPERIMENTAL	BOUNDED_PUBLIC_EXECUTED_WITHIN_LIMITS	x86_64-systemv-elf-linux	compiler/semantic/matrix/g015_source_vertical.inc	Canonical native descriptor, actual Int64 (dimensions 0..8) / binary64 (0..64) operands; independent owned results and root-provenance views; row-major fromBuffer copies live Int Slice or typed Int/Float Vector, exact count/dtype and lexical release gates; native Float LU returns (compact factors, permutation), QR returns (thin Q, R), using existing Tuple projections; finite factorization dimensions at most 32 with singular/domain rejection; readonly Matrix parameter borrows and caller-owned hidden-result copies preserve lifetimes and ordered arguments; scalar calls reclaim temporaries; runtime-shaped axis Vectors reuse native Vector/statistics and Random consumers; checked Int axis sums publish atomically; no whole-source projection or fixed report	NO_STABLE_RUNTIME_CLAIM	G178-S08
