id	subgroup	boundary	owner	evidence	scope	claim	status	limitation
G197-S01-F001	G197-S01	source compilation	compiler/driver	tests/rf204/G197/validate.py::native	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local trusted host and pinned inputs; no whole-program security certification
G197-S01-F002	G197-S01	compiler build trust	compiler/sdk/sdk_builder.py	tests/rf204/G197/validate.py::native	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local trusted host and pinned inputs; no whole-program security certification
G197-S01-F003	G197-S01	SDK packages	compiler/sdk/package_manager.py	tests/rf204/G197/validate.py::malformed	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local trusted host and pinned inputs; no whole-program security certification
G197-S01-F004	G197-S01	install ownership	compiler/sdk/sdk_lifecycle.py	tests/rf204/G197/validate.py::malformed	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local trusted host and pinned inputs; no whole-program security certification
G197-S01-F005	G197-S01	runtime IO network plugins	runtime	tests/rf204/G197/validate.py::native	PROCESS_RECORD	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Local trusted host and pinned inputs; no whole-program security certification
G197-S02-F001	G197-S02	capability forgery	runtime/capabilities/capabilities.asm	tests/rf204/G197/validate.py::owners	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Internal owner and test envelope; generated programs do not acquire automatic OS sandboxing
G197-S02-F002	G197-S02	attenuation revocation	runtime/capabilities/capabilities.asm	tests/rf204/G197/validate.py::owners	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Internal owner and test envelope; generated programs do not acquire automatic OS sandboxing
G197-S02-F003	G197-S02	filesystem confinement	compiler/sdk/install_io.py	tests/rf204/G197/validate.py::malformed	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Internal owner and test envelope; generated programs do not acquire automatic OS sandboxing
G197-S02-F004	G197-S02	process network policy	runtime/sandbox/sandbox.asm	tests/rf204/G197/validate.py::envelope	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Internal owner and test envelope; generated programs do not acquire automatic OS sandboxing
G197-S02-F005	G197-S02	resource limits	runtime/sandbox/sandbox.asm	tests/rf204/G197/validate.py::envelope	INTERNAL_OWNER	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Internal owner and test envelope; generated programs do not acquire automatic OS sandboxing
G197-S03-F001	G197-S03	overflow OOB	runtime/memory	tests/rf204/G197/validate.py::owners	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Bounded malformed corpus and ownership witnesses; no exhaustive memory-safety proof
G197-S03-F002	G197-S03	UAF double free	runtime/memory	tests/rf204/G197/validate.py::native	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Bounded malformed corpus and ownership witnesses; no exhaustive memory-safety proof
G197-S03-F003	G197-S03	parser compiled interfaces	compiler/semantic/modules	tests/rf204/G197/validate.py::malformed	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Bounded malformed corpus and ownership witnesses; no exhaustive memory-safety proof
G197-S03-F004	G197-S03	manifests archives	compiler/sdk/sdk_builder.py	tests/rf204/G197/validate.py::malformed	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Bounded malformed corpus and ownership witnesses; no exhaustive memory-safety proof
G197-S03-F005	G197-S03	failure atomicity	compiler/sdk/sdk_lifecycle.py	tests/rf204/G197/validate.py::malformed	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Bounded malformed corpus and ownership witnesses; no exhaustive memory-safety proof
G197-S04-F001	G197-S04	Sensitive Trusted flow	runtime/privacy/privacy.asm	tests/rf204/G197/validate.py::owners	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Tested synthetic sinks only; no whole-language taint or erasure claim
G197-S04-F002	G197-S04	Console Scan redaction	runtime/textual	tests/rf204/G197/validate.py::native	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Tested synthetic sinks only; no whole-language taint or erasure claim
G197-S04-F003	G197-S04	diagnostic logs	compiler/sdk/extensions.py	tests/rf204/G197/validate.py::plugins	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Tested synthetic sinks only; no whole-language taint or erasure claim
G197-S04-F004	G197-S04	files local reports	compiler/sdk/doctor.py	tests/rf204/G197/validate.py::privacy	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Tested synthetic sinks only; no whole-language taint or erasure claim
G197-S04-F005	G197-S04	secret retention observability	runtime/privacy/privacy.asm	tests/rf204/G197/validate.py::privacy	LOCAL_FUNCTIONAL	BOUNDED_CONFORMANCE	VERIFIED_LOCAL	Tested synthetic sinks only; no whole-language taint or erasure claim
