path	line_or_field	observed	classification	action	expected_after	validation
CHANGELOG.md	line:5	## [1.1.0] - Unreleased	CURRENT_CHANGELOG	TRANSITION	## [1.1.0] - 2026-09-12	Exact baseline observation and independently reviewed final release identity
CHANGELOG.md	line:35	- Source integration is complete and release metadata is FINAL_RELEASE_READY.	CURRENT_CHANGELOG	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
CHANGELOG.md	line:36	- Tag, GitHub Release and asset publication require a separate RELEASE_GO.	CURRENT_CHANGELOG	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
CHANGELOG.md	line:37	- The release date is unset; the latest published release remains 1.0.1.	CURRENT_CHANGELOG	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:5	Publication status: FINAL_RELEASE_READY	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:6	Latest published release: `1.0.1`	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:9	Tag status: NOT_CREATED	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:10	GitHub Release status: NOT_CREATED	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:11	Release date: UNSET	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:14	FINAL_RELEASE_READY records release readiness; publication requires a separate	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README.md	line:82	A versão de source 1.1.0 ainda não foi publicada. As releases públicas	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README_SOURCE.md	line:3	Language Edition: 1.0. Status: FINAL_RELEASE_READY.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README_SOURCE.md	line:4	The latest published release remains 1.0.1.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
README_SOURCE.md	line:6	and asset publication require a separate RELEASE_GO; the release date is unset.	CURRENT_PUBLIC_DOCUMENTATION	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
SOURCE-PROVENANCE.json	line:3	"""status"": ""FINAL_RELEASE_READY"","	CURRENT_PROVENANCE	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
SOURCE-PROVENANCE.json	line:23	"""publication"": ""Source integrated; release metadata ready; separate RELEASE_GO required for tag, GitHub Release and assets"","	CURRENT_PROVENANCE	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
SOURCE-PROVENANCE.json	line:29	"""remote_publication"": ""NOT_PERFORMED_BY_THIS_SNAPSHOT"","	CURRENT_PROVENANCE	TRANSITION	FINAL_RELEASE	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:86	NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:89	NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:100	Lexer: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Lexer: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:113	Strings/integers: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Strings/integers: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:114	Parser: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Parser: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:127	Parser: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Parser: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:140	Complex expressions: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Complex expressions: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:141	Semantic resolution: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Semantic resolution: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
compiler/README.md	line:155	Statement semantics: NOT_CREATED	NOT_A_RELEASE_STATE	PRESERVE	Statement semantics: NOT_CREATED	Exact baseline observation and independently reviewed final release identity
