surface	kind	old_state	new_state	compatibility	migration	evidence	semver_effect
examples/evolution/g10-array-int4.no	SOURCE_SYNTAX_CHANGE	1.0.1 builds and exits 5	Repaired current compiler checks, emits, builds and exits 5 unchanged	PUBLIC_1_0_1_COMPATIBILITY_PRESERVED	Documented optional .at()	tests/release/indexing-compatibility/validate.sh	NO_BREAK_AFTER_EXPLICIT_COMPATIBILITY_REPAIR
examples/evolution/g11-vector-int4.no	PUBLIC_BEHAVIOR_CHANGE	1.0.1 builds and exits 20	current compiler rejects: NEBO_PARSE_UNEXPECTED_TOKEN	NON_STABLE_PUBLIC_IMPLEMENTATION_MATERIAL	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-MIGRATION-GUIDE.md	NO_STABLE_SURFACE_REMOVAL; SOURCE_INCOMPATIBILITY_DISCLOSED
examples/evolution/g20-task-int.no	PUBLIC_BEHAVIOR_CHANGE	1.0.1 builds and exits 20	current compiler rejects: NEBO_PARSE_NONASSOCIATIVE_CHAIN	NON_STABLE_PUBLIC_IMPLEMENTATION_MATERIAL	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-MIGRATION-GUIDE.md	NO_STABLE_SURFACE_REMOVAL; SOURCE_INCOMPATIBILITY_DISCLOSED
examples/evolution/g30-visual-summary.no	PUBLIC_BEHAVIOR_CHANGE	1.0.1 builds and exits 42	current compiler rejects: NEBO_PARSE_TOP_LEVEL_STATEMENT	NON_STABLE_PUBLIC_IMPLEMENTATION_MATERIAL	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-MIGRATION-GUIDE.md	NO_STABLE_SURFACE_REMOVAL; SOURCE_INCOMPATIBILITY_DISCLOSED
examples/evolution/rf27-g02/non-local-return-cleanup.no	PUBLIC_BEHAVIOR_CHANGE	1.0.1 builds and exits 22	current compiler rejects: NEBO_CALL_UNDEFINED	NON_STABLE_PUBLIC_IMPLEMENTATION_MATERIAL	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-MIGRATION-GUIDE.md	NO_STABLE_SURFACE_REMOVAL; SOURCE_INCOMPATIBILITY_DISCLOSED
examples/evolution/rf27-g04/return-cleanup.no	PUBLIC_BEHAVIOR_CHANGE	1.0.1 builds and exits 22	current compiler rejects: NEBO_CALL_UNDEFINED	NON_STABLE_PUBLIC_IMPLEMENTATION_MATERIAL	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-MIGRATION-GUIDE.md	NO_STABLE_SURFACE_REMOVAL; SOURCE_INCOMPATIBILITY_DISCLOSED
language registry NSR-RES-015	SOURCE_SYNTAX_CHANGE	public stable bounded constant bracket indexing	General RESERVED entry preserved; derived NSR-RES-015-COMPAT-1.0.1 active	EXPLICIT_BOUNDED_COMPATIBILITY_AMENDMENT	No source migration for stable contracts; see disclosed experimental differences	docs/specifications/nebo-language/NSR-RES-015-PUBLIC-1.0.1-COMPATIBILITY.json	NO_GENERAL_INDEXING_PROMOTION
Public SymbolId export inventory	PUBLIC_API_COMPATIBILITY	257 entries	Same 257 entries byte-identical	PRESERVED	No source migration for stable contracts; see disclosed experimental differences	sdk/contracts/compatibility/SYMBOLID-EXPORT-INVENTORY.tsv; sdk/contracts/compatibility/DIAGNOSTIC-COMPATIBILITY-REGISTRY.tsv	NON_BREAKING
Diagnostic compatibility registry	DIAGNOSTIC_SCHEMA_COMPATIBILITY	157 entries	Same 157 entries byte-identical	PRESERVED	No source migration for stable contracts; see disclosed experimental differences	sdk/contracts/compatibility/SYMBOLID-EXPORT-INVENTORY.tsv; sdk/contracts/compatibility/DIAGNOSTIC-COMPATIBILITY-REGISTRY.tsv	NON_BREAKING
Bounded overload selection	PUBLIC_API_ADDITION	Published compiler rejects bounded-overload.no	Builds and selects Integral overload; native exit 20	ADDITIVE	No source migration for stable contracts; see disclosed experimental differences	examples/evolution/rf27-g03/bounded-overload.no	MINOR
Array indexing composition	PUBLIC_API_ADDITION	One immutable four-Int literal and one/two reads	Same value owner composes with statements, functions, two arrays and explicit return	ADDITIVE	No source migration for stable contracts; see disclosed experimental differences	tests/release/indexing-compatibility/validate.sh	MINOR
Compiler CLI	CLI_CHANGE	20 public help command families	117 families; zero removed; adds --version-json	ADDITIVE	No source migration for stable contracts; see disclosed experimental differences	compiler/driver/cli/linux-x86_64/cli_driver.asm	MINOR
SDK lifecycle	SDK_CHANGE	1.0.1 SDK original layout and owned inventory	Install, verify, same-Edition upgrade and exact rollback	BACKWARD_COMPATIBLE_UPGRADE	No source migration for stable contracts; see disclosed experimental differences	tests/public/sdk_lifecycle.py	NON_BREAKING
Product identity	RELEASE_METADATA_CHANGE	Latest published 1.0.1; current compiler local 1.0.0	Canonical 1.1.0; Edition 1.0; no default warning	INTENTIONAL_MINOR_VERSION	No source migration for stable contracts; see disclosed experimental differences	version/NEBO-VERSION.json	MINOR
Runtime and serialized contracts	PUBLIC_ABI_CHANGE	214 core and 348 practical exports; frozen identities	370 core and 2230 practical exports; zero removed or changed kind	PRESERVED_AND_ADDITIVE	No source migration for stable contracts; see disclosed experimental differences	sdk/contracts/compatibility/SYMBOLID-EXPORT-INVENTORY.tsv; sdk/contracts/compatibility/DIAGNOSTIC-COMPATIBILITY-REGISTRY.tsv	NON_BREAKING
Target and tooling prerequisites	PLATFORM_CHANGE	Linux x86-64 System V static ELF; host toolchain	Same certified target and host dependency policy	PRESERVED	No source migration for stable contracts; see disclosed experimental differences	docs/releases/NEBO-1.1.0-KNOWN-LIMITATIONS.md	NON_BREAKING
