identity	name	module	layer	tier	rule_id	classification	reason
NSR-CORE-001	.	core	CORE	STABLE_1_0	N1-PUBLIC-233cae135785161a6c458f60	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-002	()	core	CORE	STABLE_1_0	N1-PUBLIC-c52a671723afc6a2bbc69340	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-003	{}	core	CORE	STABLE_1_0	N1-PUBLIC-5c7f6c563260bd96de04dbad	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-004	[]	core	CORE	STABLE_1_0	N1-PUBLIC-a1bcc34c0f607c3bd21d27d5	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-005	<...>	core	CORE	STABLE_1_0	N1-PUBLIC-76d9529bd10c7510188043fd	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-006	,	core	CORE	STABLE_1_0	N1-PUBLIC-9342bca221dbd9d560c3f521	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-007	;	core	CORE	STABLE_1_0	N1-PUBLIC-babe1641ef0a800ea0a5956a	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-008	:	core	CORE	STABLE_1_0	N1-PUBLIC-f6c6b384190055f2e6d140c3	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-009	->	core	CORE	STABLE_1_0	N1-PUBLIC-174e4e70dd30e5bb580de0d6	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
NSR-CORE-010	_	core	CORE	STABLE_1_0	N1-PUBLIC-ffa8df221f56f1026f18cefd	NORMATIVE_STABLE_PROFILE	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership.
