item_id	subject	defined_value	failure_policy	scope	authority	state
ID-TARGET	Executable target	x86_64-systemv-elf-linux; LP64 little endian; Int64; binary64; SysV ELF	Reject incompatible target/interface; no inferred alternate-target conformance	IMPLEMENTATION_PROFILE	docs/reference/interfaces/NI-SCHEMA-AND-FINGERPRINT-FREEZE.md	DECLARED
ID-STATUS	Linux process status	Observable low byte 0..255 of explicit integer return; Python negative return code denotes signal	Signal termination is not an ordinary status	PLATFORM_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md	DECLARED
ID-NI	Binary interface	NEBO.NI version 1 Edition 1; 16 MiB; 64 sections; 1024 records; material Int constant profile	Authenticate lengths/digests/types before publishing; metadata-only input cannot supply values	TOOLCHAIN_INTERFACE	docs/reference/interfaces/NI-SCHEMA-AND-FINGERPRINT-FREEZE.md	DECLARED
ID-ABI	Internal layout and calls	Exact native ABI reference; descriptor offsets are not language types; ABI/runtime fields unchanged	Reject target/layout incompatibility; no version bump	TOOLCHAIN_INTERFACE	docs/reference/interfaces/PUBLIC-ABI-FREEZE.tsv	DECLARED
ID-CONCURRENCY	Execution and memory model	Bounded cooperative callbacks and ownership/guard rules; no general preemptive cross-thread source memory model	Unsupported callback/capture forms reject; cancellation blocks admission	BOUNDED_MATERIAL_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md	DECLARED
ID-DOC-LABEL	Executable documentation label	[public-|private-|secret-][law-]exit-N where N is 0..255	NEBO-RF166-G158-001 before verified documentation publication	TOOLING_PROFILE	tools/rf204-g158.py	DECLARED
ID-FOR	Iterable admission	Previously bound supported iterable; optional index and finite integer comparison filter	Invalid header or unsupported iteration rejects before publication	BOUNDED_SOURCE_PROFILE	compiler/parser/statements/statements.asm	DECLARED
ID-NAMED	Named/default arguments	Current pure scalar argument profile	No implicit effectful argument support	BOUNDED_SOURCE_PROFILE	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md	DECLARED
ID-LIVE	Display, Scan and services	Retained headless/software Console; synthetic mock/stdin Scan in this conformance run	No hardware, real secret, desktop or service guarantee	ENVIRONMENT_PROFILE	sdk/contracts/stdlib/STDLIB-PROFILE-BOUNDARIES.tsv	DECLARED
ID-SEMANTIC-allocation-budget	allocation-budget	System blocks <=65536 bytes, arena capacity <=1048576; OOM releases earlier successful allocations without publishing a later sink.	G170:ownership_test:allocate-65536-return-23,G170:ownership_test:arena-1048576-17,G171:pairwise:allocation-oom-cleanup	BOUNDED_SEMANTIC_LIMIT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F001	DECLARED
ID-SEMANTIC-arithmetic-failures	arithmetic-failures	Checked integer overflow/division traps do not wrap silently; explicit status preserves canonical return semantics.	G170:binding_test:Int-add-overflow,G170:binding_test:Int-divide-zero,G170:math_return_test:*	BOUNDED_SEMANTIC_LIMIT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F002	DECLARED
ID-SEMANTIC-output-capacity	output-capacity	Tagged publication budget 32 and error text pool 4096 are checked before artifacts/output; plus-one rejects.	G170:option_result_test:option-effect-capacity,G170:option_result_test:option-effect-capacity-plus-one,G170:option_result_test:error-message-pool-boundary,G170:option_result_test:error-message-pool-plus-one	BOUNDED_SEMANTIC_LIMIT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F003	DECLARED
ID-SEMANTIC-recursion-budget	recursion-budget	At most 64 active supported call frames; depth-boundary programs terminate with a defined trap, never hang.	G170:control_test:recursion-63,G170:control_test:recursion-64	BOUNDED_SEMANTIC_LIMIT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F004	DECLARED
ID-SEMANTIC-publication-atomicity	publication-atomicity	Failure before an atomic sink preserves existing files; rename/capacity/parser failures leave no partial output.	G171:pairwise:filesystem-rename-failure,G171:pairwise:dict-capacity-failure-no-publish,G171:pairwise:scan-abort-no-file	BOUNDED_SEMANTIC_LIMIT	docs/reference/language/NEBO-1.0-SEMANTIC-SPEC.md#G175-S07-F005	DECLARED
ID-LIMIT-1	native recovery diagnostic default	8	No partial diagnostic/AST commit	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-2	native recovery token default	1048576	LIMIT_EXCEEDED	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-3	native recovery AST default	1048576	LIMIT_EXCEEDED	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-4	native parser nesting	512 limit; 511 accepted	NEBO_PARSE_NESTING_LIMIT at 512	SOURCE_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-5	public max-errors	1..64	Bounded diagnostics; no source artifact	SOURCE_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-6	block comment depth	64	Typed rejection at 65	SOURCE_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-7	formatter source bytes	1048576	Reject before write	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-8	formatter native tokens	32768	Reject malformed/overflow transport	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-9	formatter compiler child seconds	15	No write on timeout	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-10	symbol formatter child seconds	15	No write on failure	TOOLING_LIMIT	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-11	RF172 replay seconds	180	Timeout is failure	TEST_BUDGET_NOT_LANGUAGE_RULE	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-LIMIT-12	G174 full validator seconds	900	Timeout is failure	TEST_BUDGET_NOT_LANGUAGE_RULE	docs/reference/language/LIMIT-BUDGET-MATRIX.tsv	DECLARED
ID-PUBLIC-233cae135785161a6c458f60	NSR-CORE-001	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-001	DECLARED
ID-PUBLIC-c52a671723afc6a2bbc69340	NSR-CORE-002	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-002	DECLARED
ID-PUBLIC-5c7f6c563260bd96de04dbad	NSR-CORE-003	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-003	DECLARED
ID-PUBLIC-a1bcc34c0f607c3bd21d27d5	NSR-CORE-004	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e28891,operator:reduce-overflow-e2888f	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-004	DECLARED
ID-PUBLIC-76d9529bd10c7510188043fd	NSR-CORE-005	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-domain-e28891,operator:reduce-overflow-e2888f	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-005	DECLARED
ID-PUBLIC-9342bca221dbd9d560c3f521	NSR-CORE-006	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:bytes-four-arity	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-006	DECLARED
ID-PUBLIC-babe1641ef0a800ea0a5956a	NSR-CORE-007	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-007	DECLARED
ID-PUBLIC-f6c6b384190055f2e6d140c3	NSR-CORE-008	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Checked format/interpolation profile; 64 segments; finite text/output budgets; pure interpolation	format:named-duplicate,format:named-absent,format:named-type	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-008	DECLARED
ID-PUBLIC-174e4e70dd30e5bb580de0d6	NSR-CORE-009	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-009	DECLARED
ID-PUBLIC-ffa8df221f56f1026f18cefd	NSR-CORE-010	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:discard-read,operator:discard-mutable	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-010	DECLARED
ID-PUBLIC-1dc475a172d2a889f3a676d6	NSR-CORE-011	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:comment-does-not-bind	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-011	DECLARED
ID-PUBLIC-d5542f0adab915dc31d5fd71	NSR-CORE-012	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2b	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-012	DECLARED
ID-PUBLIC-77d61b140de7af4cea4c66e7	NSR-CORE-013	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-2d	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-CORE-013	DECLARED
